Student Contributor Name,Address,Zip Code,Price Sold,Date Sold,Number of Bedrooms,Number of Bathrooms (add 0.5 for a half bath),Year Built,Squared Feet,Lot size (in sqft),Number of Parking Spots
Jayavardhan Reddy Mallu,"6102 Sunridge Dr, Cincinnati, OH",45224,200000,1/10/2024,3,3,1948,"1,718",N/A,N/A
Josie Wittwer,"6348 Cambridge Ave, Cincinnati, OH",45230,227500,12/15/2023,2,2,1948,"1,124","8,145",NA
Stewart Shumrick,6348 Cambridge Ave,45230,230700,12/15/2023,2,2,1948,1124,8145,0
Surya Sanjay Bandari,"6924 Lois Dr, Cincinnati, OH",45239,238000,12/29/2023,3,2,1948,1363,3378,1
Hunter Jessee,"2639 Bremont Ave, Cincinnati, OH",45237,263500,12/8/2023,3,3,1948,1980,7700,2
Georgia Croci,"6051 Luwista Lane, Cincinnati OH",45230,398000,12/29/2023,4,3,1948,2750,"66,646",2
Stewart Shumrick,6051 Luwista Ln,45230,398000,12/29/2023,4,3,1948,2750,66646.8,2
Matt Guido,6051 Luwista Ln,45230,398000,12/29/2023,4,3,1948,2750,66646.8,2
He Yang,"7008 Mayfield Ave, Cincinnati, OH ",45243,430000,12/5/2023,3,3,1948,1984,7492,1
Mark Manibusan,847 Clifton Hills Terrace,45220,450000,4/20/2017,4,4,1948,3474,13068,2
Sergio Mateo,551 Greenwell Ave,45238,80000,9/7/2023,3,2,1949,1521,8624,1
Archana Basnett,"3236 Vittmer Ave, Cincinnati, OH",45238,105000,11/15/2023,3,1,1949,1212,"6,316",1
Surya Sanjay Bandari,"11670 Kenn Rd, Cincinnati, OH ",45240,160500,1/10/2024,2,1,1949,1089,7012,1
Caylee Rosa,"6047 Pawnee Dr, Cincinnati, OH",45224,187500,12/7/2023,4,1,1949,"1,295","6,969",1
Adapa Veda Supraja,"6047 Pawnee Dr, Cincinnati, OH",45224,191600,12/7/2023,4,1,1949,"1,295",6969,1
Robin Verdon,"6925 Windward St, Cincinnati, OH",45227,213000,12/13/2023,4,1,1949,1230,5183,
Adapa Veda Supraja,"6925 Windward St, Cincinnati, OH",45227,213000,12/13/2023,4,1,1949,1230,5183,NA
Kory Bailey,"8104 Camner Ave, Cincinnati, OH",45236,248000,12/11/2023,3,1,1949,1489,9408,0
Miranda Knisley,"4312 Joan Pl, Cincinnati, OH",45227,420000,10/30/2023,3,2,1949,1973,6664,N/A
Robin Verdon,"4312 Joan Pl, Cincinnati, OH",45227,420000,10/30/2023,3,2,1949,1973,6664,
Srikar Kudumula,"536 Pontius Rd, Cincinnati, OH",45233,425000,1/16/2024,3,3,1949,3138,152024.4,8
Lokesh Rudravalambi Suresh,"536 Pontius Rd, Cincinnati, OH",45233,425000,1/16/2024,3,3,1949,3138,152024.4,8
Miranda Knisley,"3730 Pleasant St, Cincinnati, OH",45227,685000,12/15/2023,4,3,1949,2929,0.31,2
Robin Verdon,"3730 Pleasant St., Cincinnati, OH",45227,685000,12/15/2023,4,3,1949,2929,13504,2
Derek Schult,6363 Corbly Ave,45230,68000,7/26/2019,2,1,1950,1075,7797,2
Ajay Mahato,"1843 Bising Ave, Cincinnati, OH",45239,140000,1/4/2024,3,1,1950,1092,6882,NA
Anil Palazzo,"1843 Bising Ave, Cincinnati, OH",45239,140000,1/4/2024,3,1,1950,"1,092","6,882",no data
Stewart Shumrick,6527 Coffey St,45230,165000,1/27/2023,2,1,1950,925,5000,open parking
Pimlapas Kumkerd,"6926 Rob Vern Dr, Cincinnati, OH",45239,189000,1/8/2024,3,2,1950,"1,424","7,231",1
Rachael Rahe,"6926 Rob Vern Dr, Cincinnati, OH",45239,189000,1/8/2024,3,2,1950,1424,7231,1
Ranjay Bose,"6926 Rob Vern Dr,Cincinnati,OH",45239,189000,1/8/2024,3,2,1950,1424,7231,1
Archana Basnett,"2630 Gracewood Ave, Cincinnati, OH",45239,225000,11/15/2023,3,2,1950,1870,"2,269",1
Miranda Knisley,"3750 West St APT 4, Cincinnati, OH",45227,230000,9/27/2023,2,1,1950,927,0.29,1
Kory Bailey,"2800 Byrneside Dr, Cincinnati, OH",45239,249900,1/2/2024,4,2.5,1950,2600,11326,2
Aditya Raj Singhal,"8716 S Mitthoeffer Rd, Indianapolis, IN",46259,275000,1/9/2024,4,3,1950,"2,502",43560,3
Ramvyasa Thavasiraj,"167 New Hampshire Ave, London, OH",43140,280000,2/24/2023,4,2,1950,2685,20000,4
Kory Bailey,"7265 Rita Ln, Cincinnati, OH",45243,295000,1/9/2024,2,1,1950,1269,8276,1
Sarah Schaefer,"6345 Miami Rd, Cincinnati, OH",45243,476000,11/2/2023,3,1,1950,"1,344","30,056",2
Miranda Knisley,"6739 Fieldhouse Way, Cincinnati, OH",45227,700000,9/5/2023,4,2.5,1950,2409,9583,2
Matt Guido,3330 Cavanaugh Ave,45211,110000,12/29/2023,2,1,1951,792,10846,NAN
Hrishikesh Anil Patil,"3330 Cavanaugh Ave, Cincinnati, OH",45211,111000,12/29/2023,2,1,1951,791,"10,846",NA
William Treutel,"2635 Struble Rd, Cincinnati, OH",45231,160000,7/10/2023,3,2,1951,1080,943030440,
Lokesh Rudravalambi Suresh,"2801 Breezy Way, Cincinnati",45239,197500,12/22/2023,3,2,1951,1230,7666,1
Lokesh Rudravalambi Suresh,"6919 Pinoak Dr, Cincinnati",45239,223000,1/12/2024,4,2,1951,1555,7927,2
Jayavardhan Reddy Mallu,"6919 Pinoak Dr, Cincinnati, OH",45239,223000,1/12/2024,4,2,1951,"1,555","7,927",2
Lokesh Rudravalambi Suresh,4318 Courageous Cir,45252,245900,12/22/2023,2,2,1951,1271,1271,1
He Yang,"536 Miami Ave, Cincinnati, OH",45243,255000,11/13/2023,3,2,1951,1872,18731,2
Stewart Shumrick,6793 Le Conte Ave,45230,273000,12/14/2023,4,2,1951,1431,8799,N/A
Nishit Raj,"10623 Hamilton Ave, Cincinnati, OH",45231,290000,11/6/2023,3,1,1951,1428,63389,8
He Yang,"7825 Tances Dr, Cincinnati, OH",45243,360000,10/10/2023,3,2,1951,1258,6969,1
Miranda Knisley,"6901 Mount Vernon Ave, Cincinnati, OH",45227,1075000,9/5/2023,5,4,1951,N/A,0.29,N/A
Hrishikesh Anil Patil,"4982 Mount Alverno Rd, Cincinnati, OH",45238,154000,11/14/2023,4,1,1952,"1,282","10,541",1
Nishit Raj,"5318 Ellmarie Dr, Cincinnati, OH",45227,175000,11/7/2023,2,1,1952,1295,10167,2
Jadyn Bauss,"6673 Jersey Ave, Cincinnati, OH",45233,176500,1/12/2024,2,2,1952,792,"7,274",1
Ranjay Bose,"6673 Jersey Ave,Cincinnati,OH",45233,176500,1/12/2024,2,2,1952,792,7274.52,1
Stewart Shumrick,1262 Ayershire Ave,45230,234900,12/18/2023,4,1,1952,1344,6795,N/A
Stewart Shumrick,6761 Sunray Ave,45230,259900,11/30/2023,3,2,1952,1572,9104,1
Bhargav Sreepathi,"6761 Sunray St, Anderson Twp, OH",45226,259900,11/28/2023,3,2,1952,1572,9147,1
Mark Manibusan,1045 Clifton Hills Ave,45220,279000,7/16/2004,2,2,1952,2352,13068,2
He Yang,"7609 Juler Ave, Cincinnati, OH ",45243,292900,6/8/2023,3,2,1952,1750,15682,N/A
Surya Sanjay Bandari,"319 Durrell Ave, Cincinnati, OH ",45215,355000,12/29/2023,3,2,1952,1469,6141,1
Nikhita Veluri,"745 Crevelings Ln, Cincinnati, OH",45226,549980,10/3/2023,3,2.5,1952,1789,16552,2
Miranda Knisley,"6601 Pleasant St, Cincinnati, OH",45227,769100,11/30/2023,5,4,1952,2657,0.32,2
Robin Verdon,"6601 Pleasant St. Cincinnati, OH",45227,769100,11/30/2023,5,4,1952,2657,13939,2
Adapa Veda Supraja,"6601 Pleasant St. Cincinnati, OH",45227,769100,11/30/2023,5,4,1952,2657,13939,2
Sergio Mateo,1091 Alcliff Ln,45238,89000,9/6/2023,4,2,1953,1620,7448,1
Anil Palazzo,"1605 Saxon Ave, Cincinnati, OH",45223,155000,1/10/2024,2,1,1953,726,"30,056.40",open parking
Jameson Zink,"1605 Saxon Ave,Cincinnati,OH",45223,155000,1/10/2024,2,1,1953,726,30056.4,NA
Ranjay Bose,"1605 Saxon Ave,Cincinnati,OH",45223,155000,1/10/2024,2,1,1953,726,0.69,0
Jayavardhan Reddy Mallu,"1605 Saxon Ave, Cincinnati, OH",45223,155000,1/10/2024,2,1,1953,726,30056.4,N/A
Caylee Rosa,"1059 Elda Ln, Cincinnati, OH",45224,155000,11/3/2023,3,1,1953,888,"5,619",N/A
Jameson Zink,"1054 Grayview Ct,Cincinnati,OH",45224,183000,1/10/2024,3,1,1953,1797,16552.8,1
Jayavardhan Reddy Mallu,"1054 Grayview Ct, Cincinnati, OH",45224,183000,1/10/2024,3,1,1953,"1,797",16552.8,1
Aditya Raj Singhal,"4699 Kiefer Rd, Shively, KY",40216,184000,1/12/2024,4,1,1953,"1,052",9147,NA
David Dickens,"555 McAlpin Ave, Cincinnati, OH",45220,225000,5/17/2023,3,2,1953,1900,18730,3
Heather Stoffer,"1609 Sutton Ave, Cincinnati, OH",45230,232500,10/26/2023,3,1,1953,"1,301","8,842",1
Nathan Poeppelman,"2186 Ford Rd, Morrow, OH",45152,255000,5/26/2023,4,1.5,1953,1336,84506.4,1
Mark Manibusan,1046 Clifton Hills Ave,45220,284900,9/13/2007,3,2.5,1953,1860,7100,2
Kory Bailey,"4359 Victor Ave, Blue Ash, OH",45242,335000,12/14/2023,4,2,1953,1440,6011,0
Kijung Lee,"4359 Victor Ave, Blue Ash, OH",45242,335000,12/14/2023,4,2,1953,1440,6011,0
He Yang,"7825 Mapleleaf Dr, Cincinnati, OH",45243,346000,11/29/2023,3,2,1953,1700,6011,1
Kory Bailey,"7285 Berwood Dr, Cincinnati, OH",45243,378000,12/6/2023,3,2,1953,1582,9408,1
He Yang,"7285 Berwood Dr, Cincinnati, OH",45243,385200,12/6/2023,3,2,1953,1582,9408,1
He Yang,"7912 Locust Ln, Cincinnati, OH",45243,396300,12/21/2023,4,2,1953,1258,7056,N/A
He Yang,"6058 Johnson St, Cincinnati, OH",45243,405000,11/20/2023,4,3,1953,1728,11326,2
Hunter Jessee,"6058 Johnson St, Cincinnati, OH",45243,405000,11/20/2023,4,3,1953,1728,11325,2
Miranda Knisley,"3802 East St, Cincinnati, OH",45227,717000,9/12/2023,4,4,1953,2088,0.25,2
Sergio Mateo,3802 East St,45227,717000,9/12/2023,4,4,1953,2088,10890,2
Hunter Jessee,"7400 Willowbrook Ln, Cincinnati, OH",45237,950000,12/11/2023,5,6,1953,4312,40946,3
William Treutel,"774 Wilbud Drive, Cincinnati, OH",45205,90000,11/1/2023,4,2,1954,1574,6534,1
Matt Guido,2776 Lafeuille Ave,45211,119000,12/29/2023,3,1,1954,1064,10802,2
Nishit Raj,"96 Mayjo Ct, Cincinnati, OH",45224,175000,11/9/2023,3,2,1954,1242,10725,2
Jayavardhan Reddy Mallu,"388 Inman Ln, Cincinnati, OH",45218,205000,1/11/2024,3,1,1954,"1,107","7,501",2
Nicole Baker,"2964 Blue Rock Rd, Cincinnati, OH",45239,210000,3/28/2023,3,1,1954,1272,7884,1
Sergio Mateo,2651 W Galbraith Rd,45239,215000,9/7/2023,3,2,1954,1984,15246,1
Kijung Lee,"207 Lela Dr, Mason, OH",45040,260000,12/29/2023,3,1,1954,1852,25265,NA
Sergio Mateo,1651 Brachman Ave,45230,266000,9/8/2023,3,2,1954,1360,10105.9,NA
He Yang,"7761 Mapleleaf Dr, Cincinnati, OH",45243,300000,7/20/2023,3,1,1954,4221,17860,N/A
Hrishikesh Anil Patil,"471 Anderson Ferry Rd, Cincinnati, OH",45238,307200,12/15/2023,3,3,1954,1639,23086.8,2
Kijung Lee,"10245 Kerrianna Dr, Cincinnati, OH",45242,320000,11/30/2023,3,2,1954,1358,19602,4
He Yang,"7900 Greenbriar Ln, Cincinnati, OH",45243,351000,7/7/2023,3,2,1954,1758,6011,2
He Yang,"7801 Greenbriar Ln, Cincinnati, OH",45243,384000,10/18/2023,3,2,1954,1755,6534,1
Kory Bailey,"7239 Jethve Ln, Cincinnati, OH",45243,385000,1/8/2024,3,2,1954,2130,8102,1
He Yang,"7239 Jethve Ln, Cincinnati, OH",45243,393400,1/8/2014,3,2,1954,2130,8102,1
He Yang,"7801 Mapleleaf Dr, Cincinnati, OH",45243,425000,8/9/2023,3,2,1954,1711,10802,N/A
Archana Basnett,"1172 Toluca Ct, Cincinnati, OH",45224,130000,11/15/2023,3,1,1955,1750,"9,191",1
Nishit Raj,"2757 Faber Ave, Cincinnati, OH",45211,135000,11/6/2023,3,3,1955,1489,14810,2
Lokesh Rudravalambi Suresh,"1524 Gardenwood Ct, Cincinnati",45231,164000,1/16/2024,3,2,1955,1946,6250,0
Jayavardhan Reddy Mallu,"1524 Gardenwood Ct, Cincinnati, OH",45231,164000,1/16/2024,3,2,1955,"1,946","6,250",N/A
Catherine Ngothi,"5512 N Glen Rd, Cincinnati, OH",45248,183000,11/8/2023,3,2,1955,1714,"12,632",1
Stewart Shumrick,1756 Marquette Ave,45230,200100,12/22/2023,2,1,1955,800,8494,N/A
Matt Guido,"1756 Marquette Ave,",45230,200100,12/22/2023,2,1,1955,800,8494,NAN
Jadyn Bauss,"6601 Triesta Ct, Cincinnati, OH",45230,207500,12/6/2023,3,1,1955,"1,129","7,448",0
Stewart Shumrick,6601 Triesta Ct ,45230,207500,12/6/2023,3,1,1955,1129,7448,open parking
Surya Sanjay Bandari,"58 Hadley Rd, Cincinnati, OH ",45218,210000,12/29/2023,3,2,1955,2300,7840,Open Parking
Jayavardhan Reddy Mallu,"7803 Zion Hill Rd, Cleves, OH",45002,230000,1/4/2024,2,2,1955,"1,138",43560,1
Catherine Ngothi,"5535 Northglen Rd, Cincinnati, OH",45248,266000,12/8/2023,3,3,1955,2014,"8,100",2
Sarah Schaefer,"5380 Miami Rd, Cincinnati, OH",45243,950000,11/9/2023,4,3,1955,"2,479","43,996",2
David Dickens,"10891 Carnegie Dr, Cincinnati, OH",45240,55000,5/12/2022,3,1.5,1956,1224,7840,1
Caylee Rosa,"2532 Mariposa St, Cincinnati, OH",45231,155900,11/13/2023,3,1,1956,960,"7,840",1
Aditya Raj Singhal,"1728 Trinity Dr, Springfield, OH",45503,175000,1/8/2024,3,2,1956,"1,008",7405,2
Adapa Veda Supraja,"2166 Clara St, Cincinnati, OH",45214,178800,12/7/2023,3,2,1956,1604,5314,2
Ranjay Bose,"5438 Bonita Dr,Cincinnati,OH",45238,180000,1/10/2024,2,1,1956,884,5880.6,1
Hrishikesh Anil Patil,"5438 Bonita Dr, Cincinnati, OH",45238,180000,1/10/2024,2,1,1956,884,"5,880",1
Kory Bailey,"775 Chipley Ct, Cincinnati, OH",45240,185000,1/4/2024,3,2,1956,2035,10367,0
He Yang,"6930 Euclid Ave, Cincinnati, OH",45243,200000,11/16/2023,3,2,1956,1435,19295,2
Derek Schult,1089 Shangrila Dr,45230,207000,8/2/2019,3,2,1956,1714,7230,4
Josie Wittwer,"5579 Antoninus Dr, Cincinnati, OH",45238,215000,1/9/2024,4,2,1956,"1,480",14374.8,1
Hrishikesh Anil Patil,"5579 Antoninus Dr, Cincinnati, Oh",45238,215000,1/9/2024,4,2,1956,"1,480","14,374.80",1
Hrishikesh Anil Patil,"5579 Antoninus Dr, Cincinnati, OH",45238,215000,1/9/2024,4,2,1956,1480,13939.2,1
Lokesh Rudravalambi Suresh,"1056 Bluejay Dr, Cincinnati",45231,215000,12/22/2023,4,2,1956,7620,7620,0
Catherine Ngothi,"1056 Bluejay Dr, Cincinnati, OH",45231,215000,12/22/2023,4,2,1956,N/A,"7,620",none
Sergio Mateo,8834 Monsanto Dr,45231,224000,9/6/2023,3,2,1956,1683,7800,2
Nishit Raj,"560 View Place Dr, Cincinnati, OH",45224,235000,11/9/2023,3,2,1956,1200,22176,2
Jadyn Bauss,"892 Hawthorne Dr, Cincinnati, OH",45245,266900,12/11/2023,3,1,1956,"1,440","20,037.60",1
William Treutel,"892 Hawthorne Dr, Cincinnati, OH",45245,266900,12/11/2023,3,1,1956,1440,20037,1
Nicole Baker,"3849 Creek Rd, Cincinnati, OH",45241,267500,1/12/2024,3,2,1956,1140,7405,1
Sai Shivani Aahwanika Maddi Lakshmi,"3849 Creek Rd, Cincinnati, OH",45241,267500,1/12/2024,3,2,1956,"1,140","7,405",1
Matt Guido,7820 Bobolink Dr,45224,280000,12/29/2023,3,2,1956,1812,13939.2,nan
Jayavardhan Reddy Mallu,"7820 Bobolink Dr, Cincinnati, OH",45224,280000,12/29/2023,3,2,1956,"1,812",13939.2,N/A
Qinghua Huang,"819 Dunore Rd, Cincinnati, OH",45220,318900,6/28/2012,3,2,1956,1423,8929,2
Shivani Pilli,400 Amazon Ave,45220,450000,11/16/2023,4,3,1956,1708,54014.4,2
Lokesh Rudravalambi Suresh,"5653 Bramble Ave, Cincinnati",45227,530000,1/16/2024,2,2,1956,7492,7492,2
Hunter Jessee,"6352 Parry Ln, Cincinnati, OH",45213,700000,12/8/2023,4,4,1956,3785,20037,3
Zachary Durst,"1862 Carnes Rd, New Richmond, OH",45157,93765,11/3/2023,3,1,1957,1200,114998.4,NA
Bhargav Sreepathi,"4754 Hardwick Dr, Cincinnati, OH ",45238,104900,12/28/2023,4,1,1957,1221,7927,0
Jameson Zink,"2500 Warsaw Ave UNIT 21, Cincinnati, OH",45204,110000,5/26/2023,1,1,1957,616,NA,NA
William Treutel,"2973 Veazey Ave, Cincinnati, OH",45238,135000,12/15/2023,3,1,1957,1273,6272,
Nishit Raj,"2801 Jonrose Ave, Cincinnati, OH",45239,170000,11/7/2023,3,2,1957,1082,8145,2
Archana Basnett,"1157 Ridgebrook Ln, Cincinnati, OH",45231,187500,11/15/2023,4,2,1957,1727,14374.8,2
Jayavardhan Reddy Mallu,"5487 Joey Ter, Cincinnati, OH",45248,199000,1/12/2024,3,2,1957,"1,080","6,664",1
Ishaan Chaudhari,"678 Andover Rd, Mansfield, OH",44907,218900,10/5/2023,4,5,1957,2070,3267000,2
Anil Palazzo,"898 Sabino Ct, Cincinnati, OH",45231,229000,1/9/2024,5,2,1957,"1,750","10,323",no data
Ajay Mahato,"898 Sabino Ct, Cincinnati, OH",45213,229600,1/9/2024,5,2,1957,1750,10323,NA
Caylee Rosa,"898 Sabino Ct, Cincinnati, OH",45231,229600,1/9/2024,5,2,1957,"1,750","10,323",N/A
Ranjay Bose,"898 Sabino Ct,Cincinnati,OH",45231,229600,1/9/2024,5,2,1957,1750,10323.72,N/A
Caylee Rosa,"7329 Commonwealth Dr, Cincinnati, OH",45224,250000,11/28/2023,3,2,1957,"1,600",19166.4,2
Mark Manibusan,1034 Clifton Hills Ave,45220,380000,3/31/2022,3,3,1957,1658,7187,1
Srikar Kudumula,"5825 Big Plain Circleville Rd, London, OH",43140,445000,1/10/2024,2,1,1957,1460,683892,3
Robin Verdon,"6993 Bramble Hill Dr, Cincinnati, OH",45227,550000,10/19/2023,3,2,1957,1684,7840,
Georgia Croci,"2510 Grandin Road, Cincinnati OH",45208,1425000,12/4/2023,4,4,1957,5124,19602,3
Kory Bailey,"3369 Alexis Rd, Cincinnati, OH",45239,120000,1/2/2024,3,1,1958,1062,9365,1
Pimlapas Kumkerd,"3369 Alexis Rd, Cincinnati, OH",45239,120000,1/2/2024,3,1,1958,"1,062","9,365",1
Zachary Durst,"2390 State Route 132, New Richmond, OH",45157,192500,9/15/2023,3,2,1958,NA,20037.6,1
William Treutel,"5301 Romance Ln, Cincinnati, OH",45238,193500,12/18/2023,3,1,1958,1166,7492,2
Matt Guido,8979 Cherry Blossom Ln,45231,235000,12/19/2023,3,2.5,1958,1563,7361,NAN
Catherine Ngothi,"5463 Joey Ter, Cincinnati, OH",45248,240300,11/30/2023,3,2,1958,1253,"6,795",Open parking
David Dickens,"85 Junedale Dr, Cincinnati, OH",45218,290000,6/9/2023,4,3,1958,2724,10890,1
Catherine Ngothi,"6070 Snyder Rd, Cincinnati, OH",45247,322000,12/20/2023,3,3,1958,2616,"20,038",2
David Dickens,"7370 Drake Rd, Cincinnati, OH",45243,525000,11/3/2021,3,2,1958,2700,45302,2
Adapa Veda Supraja,"7716 Forest Rd, Cincinnati, OH",45255,562200,12/7/2023,7,4,1958,"1,457",1.30 Acres,2
Sarah Schaefer,"8035 Indian Hill Rd, Cincinnati, OH",45243,837679,12/4/2023,4,3,1958,"2,936","43,996",2
Nikhil Sai Kumar Runku,"2501 Grandin Rd, Cincinnati, OH",45208,3850000,2/24/2023,5,6,1958,7091,143748,3
Josh Moermond,"773 Woodyhill Dr, Cincinnati, OH",45238,60000,12/23/2013,2,1,1959,972,7535,1
Josh Moermond,"751 Woodyhill Dr, Cincinnati, OH",45238,71050,5/29/2015,3,2,1959,1124,6098,1
Josh Moermond,"745 Woodyhill Dr, Cincinnati, OH",45238,81000,12/4/2017,3,2,1959,1124,6098,1
Josh Moermond,"779 Woodyhill Dr, Cincinnati, OH",45238,84500,4/5/1996,3,1,1959,1161,9016,1
Josh Moermond,"759 Woodyhill Dr, Cincinnati, OH",45238,90000,3/31/2015,3,1,1959,1124,6229,1
Josh Moermond,"793 Woodyhill Dr. Cincinnati, OH",45238,116500,10/25/2018,2,2,1959,972,8712,1
Josh Moermond,"765 Woodyhill Dr, Cincinnati, OH",45238,135000,10/18/2019,3,2,1959,1124,7187,1
Pimlapas Kumkerd,"3274 Ainsworth Ct, Cincinnati, OH",45251,155000,12/26/2023,4,1,1959,"1,975","6,969",
Ajay Mahato,"527 Wellesley Ave, Cincinnati, OH",45224,165000,1/8/2024,3,2,1959,1299,40946.4,NA
Pimlapas Kumkerd,"527 Wellesley Ave, Cincinnati, OH",45224,165000,1/8/2024,3,2,1959,"1,299",40946.4,
Ranjay Bose,"527 Wellesley Ave,Cincinnati,OH",45224,165000,1/8/2024,3,2,1959,1299,0.94,N/A
Caylee Rosa,"2511 Arroka Dr, Cincinnati, OH",45231,180000,11/9/2023,4,1,1959,"1,359","5,227",0
Archana Basnett,"1995 Honeysuckle Ln, Cincinnati, OH",45230,190000,11/15/2023,3,2,1959,1812,"9,888",2
Bhargav Sreepathi,"1995 Honeysuckle Ln, Cincinnati, OH",45230,190000,11/15/2023,4,2,1959,1812,9888,2
Ajay Mahato,"6814 Kenbyrne Ct, Cincinnati, OH",45239,196000,1/5/2024,3,2,1959,1624,7405,1
Anil Palazzo,"6814 Kenbyrne Ct, Cincinnati, OH",45239,196000,1/5/2024,3,2,1959,"1,624","7,405",1
Ishaan Chaudhari,"637 Stewart Ln, Mansfield, OH",44907,259900,11/1/2021,4,4,1959,2360,3267000,2
Stewart Shumrick,1722 Friartuck Ln,45230,283900,11/21/2023,3,3,1959,1590,7274,open parking 
Matt Guido,"1285 Palmwood Ct, Cincinnati",45224,287500,12/27/2023,3,2,1959,1800,15246,NAN
Kory Bailey,"2629 Petworth Ct, Cincinnati, OH",45236,292000,11/30/2023,3,1.5,1959,1389,8319,1
Heather Stoffer,"10565 Heathercrest Cir, Cincinnati, OH ",45241,387500,12/6/2023,3,3,1959,"1,738","22,216",4
Hunter Jessee,"10565 Heathercrest Circle, Cincinnati, OH",45241,387500,12/6/2023,3,3,1959,1738,22215,4
He Yang,"6830 Miami Hills Dr, Cincinnati, OH",45243,466400,11/14/2023,4,2,1959,2333,14375,3
Josh Moermond,"784 Woodyhill Dr, Cincinnati, OH",45238,83000,8/25/1997,2,1.5,1960,972,5401,1
Josh Moermond,"800 Woodyhill Dr, Cincinnati, OH",45238,90500,12/30/2016,2,2,1960,936,6534,1
Josh Moermond,"787 Woodyhill Dr. Cincinnati, OH",45238,120000,2/14/2019,3,2,1960,1818,8842,1
Lokesh Rudravalambi Suresh,"3360 Deshler Dr, Cincinnati",45251,143000,1/12/2024,3,1,1960,1105,7274,1
Jayavardhan Reddy Mallu,"3360 Deshler Dr, Cincinnati, OH",45251,143000,1/12/2024,3,1,1960,"1,105","7,274",1
Josie Wittwer,1640 Winchester Ave,45230,162000,12/28/2023,3,1,1960,"1,056","7,753",1
Stewart Shumrick,1640 Winchester Ave,45230,162000,12/28/2023,3,1,1960,1056,7753,1
Nicole Baker,"4814 Ebenezer Rd, Cincinnati, OH",45248,170000,1/28/2022,3,3,1960,3048,40075,2
Prashant Mukesh Gupta,"152 Dorchester Ave, Cincinnati, OH",45219,179000,10/3/2023,2,1.5,1960,806,NA,1
Sarah Schaefer,"1050 Olympia Dr, Mason, OH",45040,180000,11/30/2023,3,1,1960,"1,233","12,197",1
Jayavardhan Reddy Mallu,"458 Ballyclare Ter, Cincinnati, OH",45240,199000,1/12/2024,3,2,1960,"1,392","8,450",1
Prashant Mukesh Gupta,"154 Dorchester Ave, Cincinnati, OH",45219,200000,12/20/2023,2,1.5,1960,806,NA,1
Ramvyasa Thavasiraj,"1560 State Route 665, London, OH",43140,205000,10/18/2023,4,1,1960,1120,126760,1
Josie Wittwer,"282 Kinsman Ct, Cincinnati, OH",45238,208000,12/14/2023,3,1.5,1960,"1,760",19166.4,1
Hrishikesh Anil Patil,"282 Kinsman Ct, Cincinnati, OH",45238,208000,12/14/2023,3,2,1960,1760,19378,1
Jayavardhan Reddy Mallu,"3786 Ripplegrove Dr, Cincinnati, OH",45251,219900,1/12/2024,4,2,1960,"1,359","7,840",N/A
Matt Guido,"1048 Terrydel Ln, Cincinnati, OH 45245",45245,224000,12/20/2023,2,3,1960,1602,25264.8,1
Hrishikesh Anil Patil,"5778 Juvene Way, Cincinnati, OH",45233,230000,12/12/2023,3,2,1960,"1,622","7,535",1
Hunter Jessee,"8566 Plainfield Rd, Cincinnati, OH",45236,249900,12/15/2023,3,1,1960,1800,7840,2
Sergio Mateo,9585 Kosta Dr,45231,255500,9/7/2023,3,2,1960,1432,19602,2
Robin Verdon,"3764 Nightingale Dr, Cincinnati, OH",45227,276000,10/31/2023,4,3,1960,1184,5998,
Kory Bailey,"980 Wallace Ave, Milford, OH",45150,340000,12/27/2023,4,2,1960,2288,21344,2
He Yang,"8125 San Marco Ct, Cincinnati, OH",45243,390000,11/4/2022,3,3,1960,1962,12197,2
Rachael Rahe,"4750 S Raeburn Dr, Cincinnati, OH",45223,470000,3/31/2021,4,4,1960,4586,60984,2
He Yang,"6251 Coachlite Way, Cincinnati, OH",45243,512900,12/29/2023,3,3,1960,3000,20909,2
Josh Moermond,"5335 Carefree Ct, Cincinnati, OH",45238,93000,5/13/1998,2,1.5,1961,864,6751,1
Hrishikesh Anil Patil,"5319 Plumridge Dr, Cincinnati, OH",45238,145000,11/20/2023,3,2,1961,"1,152","6,446",1
Nishit Raj,"3570 Fieldcrest Dr, Cincinnati, OH",45211,157000,11/6/2023,3,2,1961,1968,8058,2
Catherine Ngothi,"10020 Marino Dr, Cincinnati, OH",45251,165000,12/4/2023,3,1,1961,912,"7,535",1
Pimlapas Kumkerd,"5451 Rapid Run Rd, Cincinnati, OH",45238,172950,12/28/2023,3,3,1961,"1,400","7,971",
Matt Guido,5451 Rapid Run Rd,45238,172950,12/28/2023,3,2.5,1961,1400,7971,NAN
Bhargav Sreepathi,"5451 Rapid Run Rd, Cincinnati, OH",45238,172950,12/28/2023,3,3,1961,1400,7971,0
Anil Palazzo,"10077 Marino Dr, Cincinnati, OH",45251,207000,1/10/2024,3,2,1961,"1,705","15,246",No Data
Ranjay Bose,"10077 Marino Dr,Cincinnati,OH",45251,207000,1/10/2024,3,2,1961,1705,0.35,N/A
Matt Guido,2422 Bluelark Dr,45231,208000,12/26/2023,3,1,1961,1300,9675,2
Nikhil Sai Kumar Runku,2422 Bluelark Dr,45231,208000,12/26/2023,3,1,1961,1300,9675,2
Bhargav Sreepathi,"3709 Hermes Dr, Cincinnati, OH",45247,220000,11/29/2023,4,2,1961,1522,7788,1
